,SMB,HML,UMD
188,-0.00768149,0.00080748,0.02481751
189,-0.02892928,0.01255261,-0.01907156
190,-0.00966471,-0.01035277,0.03555879
191,-0.01084994,-0.00385923,0.01868775
192,0.01289189,-0.01119855,0.02075985
193,-0.02653149,0.01577872,-0.00907858
194,-0.00800233,0.02275356,0.00359592
195,0.0377027,0.00190699,0.02752456
196,0.00635043,-0.00211349,-0.01888347
197,-0.02129368,0.0082016,-0.00443619
198,-0.0174824,0.00523873,0.02614582
199,-0.03461551,0.02006578,0.03133319
200,-0.02402757,0.01391284,0.02038352
201,-0.05897541,0.01734457,0.02461214
202,0.0393677,0.00481507,-0.0170447
203,-0.02328342,-0.01750294,-0.00999152
204,0.0331006,0.01383093,0.02844931
205,-0.02206685,-0.00285998,0.00865554
206,-0.02052638,-0.0322026,0.04394267
207,-0.04332201,-0.02454948,0.10614595
208,0.0080347,-0.00758985,-0.01333361
209,0.02238407,0.02363676,0.00272488
210,0.00290217,-0.0026399,-0.01130474
211,0.05001603,-0.00023591,0.01423404
212,-0.06130667,-0.00460274,0.04921313
213,-0.03880544,-0.02784954,0.05312242
214,-0.04359075,-0.00925643,0.02358128
215,-0.0449051,0.05127753,-0.04824716
216,-0.03151061,0.01900481,-0.06108784
217,-0.0196054,-0.03440394,0.07332896
218,-0.0101897,-0.06970478,0.07223305
219,0.02479726,-0.03487452,0.0145297
220,0.03132584,0.01712497,-0.04105298
221,0.04305475,0.02459211,-0.03902526
222,0.03561436,0.1019367,-0.11019797
223,0.01401033,0.00439692,0.01112649
224,0.01161153,0.01128975,0.00556448
225,0.04907501,-0.00603185,0.0239819
226,0.03187806,0.01279457,-0.02979126
227,0.01727585,-0.05306601,0.01739799
228,-0.00758361,-0.09705798,0.04598211
229,0.06421431,-0.17749656,0.15839447
230,0.01350967,-0.04219196,0.10257912
231,0.09790834,-0.10306514,0.070585
232,0.07553458,-0.18607596,0.16044239
233,-0.09995517,0.09889092,-0.17926813
234,-0.06567943,0.11660999,-0.14914489
235,-0.04354602,0.09164516,-0.1221183
